Company,Industry,Company Type,Sector,Contact,Pincode,Address,Website
Shree Ambika Sugars Ltd,"Food , FMCG , Agriculture",Industry Top,Private Sector,,600034,"El Dorado Complex, No. 112, Nungambakkam High Rd, Thousand Lights West, Nungambakkam,, Chennai Tamil Nadu , 600034",
Shree Info System Solutions Pvt Ltd,Information Technology (IT),Industry Top,Private Sector,48580770,600006,"No: 599, Gemini Parsn Appartments, E-Block, Door No: E5, Annasalai,, Chennai Tamil Nadu , 600006",www.shreeinfosystemsolutions.com
Shri Indhira Cotton Mills Pvt Ltd,"Garment , Textile",Industry Top,Private Sector,22231436,600044,"P.O. Box 6, Jagampet Gardens, Chromepet, Chennai Tamil Nadu , 600044",
Shri Lakshmi Agro Foods Pvt Ltd,"Food , FMCG , Agriculture",Industry Top,Private Sector,,600019,"Old No : 1074,New No : 6 ,TH Road Tollgate Tiruvottiyur High Rd,, Chennai Tamil Nadu , 600019",www.udhaiyamdhall.com
Shri Shankarlal Sundarbai Shasun Jain College for Women.,"Institutes - Educational , Training",Industry Top,Private Sector,24328507,600017,"3, Madley Road, T Nagar, Chennai Tamil Nadu , 600017",shasuncollege.edu.in
Shri Vaari Electricals Pvt Ltd,"Electrical , Electronics",Industry Top,Private Sector,"22500241, 22348541",600032,"No.C-37 Thiru vi-ka Industrial Estate Guindy, Chennai Tamil Nadu , 600032",www.srivaarielectricals.com
Shriram Capital Ltd (Shriram),BFSI,Industry Top,Private Sector,"49052500, 49052501",600017,"2nd Floor, Shriram House No.4, Burkit Road T Nagar, Chennai Tamil Nadu , 600017",www.shriramcapital.com
Shriram Chits Tamilnadu Pvt Ltd (Shriram),BFSI,Industry Top,Private Sector,"42236000, 40214100",600006,"No. 149, Greens Road, 5'th Greens Dugar Building, Chennai Tamil Nadu , 600006",www.shriramchits.com
Shrishti Power Technologies Pvt Ltd,"Power , Energy",Industry Top,Private Sector,24503602,600020,"Plot No-33, Door N0-155, Sapthagiri Nagar Main Road, Sholinganallur, Chennai Tamil Nadu , 600020",www.shrishtipower.com
SICAL Iron Ore Terminals Ltd,"Shipping , Marine",Industry Top,Private Sector,,600120,"Puzhuthivakkam, Madipakkam, Chennai Tamil Nadu , 600120",
